,OR1,OR2,distance,similarity,Class1,Class2,Same_Class
23804,Olfr1474,Olfr1480,3.5741885662048225,0.677852092067604,5,5,5
23805,Olfr1477,Olfr1480,15.427428241822073,0.812728320144367,5,5,5
23806,Olfr1444,Olfr1484,14.604001501009641,0.643596234260643,5,5,5
23807,Olfr1446,Olfr1484,15.045318698298974,0.594557823129252,5,5,5
23808,Olfr1447,Olfr1484,9.233085774380648,0.611199705110573,5,5,5
23809,Olfr1448,Olfr1484,15.313152010425048,0.641090813666567,5,5,5
23810,Olfr1450,Olfr1484,3.4953125282912443,0.63505040842141,5,5,5
23811,Olfr1454,Olfr1484,18.1559002450261,0.607111404353428,5,5,5
23812,Olfr1458,Olfr1484,10.19106847515614,0.599839072977243,,5,NA
23813,Olfr1459,Olfr1484,8.702581181969618,0.620301250729083,5,5,5
23814,Olfr1461,Olfr1484,14.069673216418664,0.615542141757884,5,5,5
23815,Olfr1463,Olfr1484,18.132544668258493,0.61997936938288,5,5,5
23816,Olfr1466,Olfr1484,14.033498096298823,0.610888872157108,5,5,5
23817,Olfr1467,Olfr1484,10.457139072897506,0.64144548112686,5,5,5
23818,Olfr1469,Olfr1484,1.0893491005858102,0.63106568261362,5,5,5
23819,Olfr1471,Olfr1484,17.60071879688143,0.704868298994318,5,5,5
23820,Olfr1472,Olfr1484,18.006279124818874,0.704428717848356,5,5,5
23821,Olfr1474,Olfr1484,6.733663463665547,0.70620436401369,5,5,5
23822,Olfr1477,Olfr1484,18.006279124818874,0.878293123434305,5,5,5
23823,Olfr1480,Olfr1484,3.16174108094064,0.795030949845255,5,5,5
23824,Olfr1444,Olfr1487,14.691087756593571,0.683525247305153,5,5,5
23825,Olfr1446,Olfr1487,14.025923401550287,0.657380196719856,5,5,5
23826,Olfr1447,Olfr1487,10.233186063207802,0.674638119944765,5,5,5
23827,Olfr1448,Olfr1487,14.30477466686054,0.695059264274216,5,5,5
23828,Olfr1450,Olfr1487,4.873897345499066,0.696591144713289,5,5,5
23829,Olfr1454,Olfr1487,16.284862265019974,0.66687720406862,5,5,5
23830,Olfr1458,Olfr1487,9.84304132220759,0.667719519898926,,5,NA
23831,Olfr1459,Olfr1487,9.949669604880016,0.672359804269688,5,5,5
23832,Olfr1461,Olfr1487,11.895368363204131,0.684269891395473,5,5,5
23833,Olfr1463,Olfr1487,16.755893321833604,0.688470401993958,5,5,5
23834,Olfr1466,Olfr1487,12.29229404995812,0.684360223732632,5,5,5
23835,Olfr1467,Olfr1487,11.505418694629848,0.701735102766818,5,5,5
23836,Olfr1469,Olfr1487,2.771702352912765,0.683641544387764,5,5,5
23837,Olfr1471,Olfr1487,16.16062660407876,0.795618552469646,5,5,5
23838,Olfr1472,Olfr1487,15.945425025725193,0.792612124037246,5,5,5
23839,Olfr1474,Olfr1487,5.612005938038315,0.796993105048618,5,5,5
23840,Olfr1477,Olfr1487,15.945425025725193,0.938802009216836,5,5,5
23841,Olfr1480,Olfr1487,2.531279087972817,0.838485092307146,5,5,5
23842,Olfr1484,Olfr1487,2.2175838623777495,0.862438305151669,5,5,5
23843,Olfr1444,Olfr1489,12.363681861310678,0.674259874092141,5,5,5
23844,Olfr1446,Olfr1489,4.926811759350846,0.637690483701136,5,5,5
23845,Olfr1447,Olfr1489,15.893921146368825,0.648203155097915,5,5,5
23846,Olfr1448,Olfr1489,4.98361535657412,0.678829714934786,5,5,5
23847,Olfr1450,Olfr1489,16.040229446858724,0.664768683249473,5,5,5
23848,Olfr1454,Olfr1489,3.7633774856763984,0.642203409534846,5,5,5
23849,Olfr1458,Olfr1489,9.819967327901123,0.643039133824191,,5,NA
23850,Olfr1459,Olfr1489,16.913252740196217,0.643219394048446,5,5,5
23851,Olfr1461,Olfr1489,8.734191390210002,0.659129643160844,5,5,5
23852,Olfr1463,Olfr1489,2.5328982173357706,0.651982765331722,5,5,5
23853,Olfr1466,Olfr1489,3.1875521688891095,0.65717081367288,5,5,5
23854,Olfr1467,Olfr1489,16.563897737138966,0.674037213178114,5,5,5
23855,Olfr1469,Olfr1489,16.297349222617967,0.659129643160844,5,5,5
23856,Olfr1471,Olfr1489,1.6839542611876073,0.763156659481537,5,5,5
23857,Olfr1472,Olfr1489,6.638805569723411,0.761423216119171,5,5,5
23858,Olfr1474,Olfr1489,10.098021699072538,0.770169611118507,5,5,5
23859,Olfr1477,Olfr1489,6.638805569723411,0.84387273564146,5,5,5
23860,Olfr1480,Olfr1489,13.596096878263369,0.75689672027704,5,5,5
23861,Olfr1484,Olfr1489,16.690307101893445,0.799492546729783,5,5,5
23862,Olfr1487,Olfr1489,15.114253108646077,0.863292695409642,5,5,5
23863,Olfr1444,Olfr1490,10.955004657042139,0.349070040016421,5,10,NA
23864,Olfr1446,Olfr1490,13.510715058365442,0.380507982552699,5,10,NA
23865,Olfr1447,Olfr1490,4.654507096390512,0.373467009554228,5,10,NA
23866,Olfr1448,Olfr1490,13.734867072008019,0.361237876412838,5,10,NA
23867,Olfr1450,Olfr1490,1.3039634614063187,0.363316281267458,5,10,NA
23868,Olfr1454,Olfr1490,18.807825271502715,0.360946941718336,5,10,NA
23869,Olfr1458,Olfr1490,7.725380470941622,0.350586467097769,,10,NA
23870,Olfr1459,Olfr1490,3.982232587688997,0.349179473021536,5,10,NA
23871,Olfr1461,Olfr1490,16.352181293695562,0.36281485000564,5,10,NA
23872,Olfr1463,Olfr1490,17.290067707125488,0.354456373599908,5,10,NA
23873,Olfr1466,Olfr1490,14.472762263514387,0.342684839115254,5,10,NA
23874,Olfr1467,Olfr1490,5.811176252137243,0.366182906151604,5,10,NA
23875,Olfr1469,Olfr1490,3.673729853137785,0.349944728637197,5,10,NA
23876,Olfr1471,Olfr1490,16.952654504123252,0.382187670824606,5,10,NA
23877,Olfr1472,Olfr1490,19.454527662902574,0.369707359347533,5,10,NA
23878,Olfr1474,Olfr1490,6.780147487075693,0.388063518624128,5,10,NA
23879,Olfr1477,Olfr1490,19.454527662902574,0.374759083583728,5,10,NA
23880,Olfr1480,Olfr1490,4.625816475047114,0.341716632927715,5,10,NA
23881,Olfr1484,Olfr1490,4.732080813783664,0.392465039982172,5,10,NA
23882,Olfr1487,Olfr1490,6.176728537263029,0.38385829350072,5,10,NA
23883,Olfr1489,Olfr1490,16.468139078652204,0.388291727268428,5,10,NA
23884,Olfr1444,Olfr1491,11.770444238884323,0.394788275069152,5,10,NA
23885,Olfr1446,Olfr1491,10.987460127776163,0.375853194481377,5,10,NA
23886,Olfr1447,Olfr1491,8.290332899934878,0.378671097572345,5,10,NA
23887,Olfr1448,Olfr1491,11.262332051858625,0.40370302544255,5,10,NA
23888,Olfr1450,Olfr1491,4.348454277083372,0.407320894182765,5,10,NA
23889,Olfr1454,Olfr1491,14.194351333183125,0.369226980882894,5,10,NA
23890,Olfr1458,Olfr1491,6.77944761922645,0.367490690777608,,10,NA
23891,Olfr1459,Olfr1491,8.369307963514476,0.37970572033412,5,10,NA
23892,Olfr1461,Olfr1491,10.995305812433678,0.393792891230371,5,10,NA
23893,Olfr1463,Olfr1491,13.954451033970859,0.364532403994157,5,10,NA
23894,Olfr1466,Olfr1491,9.972885630087319,0.358957247695491,5,10,NA
23895,Olfr1467,Olfr1491,9.555970775414185,0.377536353322128,5,10,NA
23896,Olfr1469,Olfr1491,3.795806932463817,0.367990548903264,5,10,NA
23897,Olfr1471,Olfr1491,13.41974233859027,0.394160959051427,5,10,NA
23898,Olfr1472,Olfr1491,14.390666469437637,0.375507896323992,5,10,NA
23899,Olfr1474,Olfr1491,2.581126948068347,0.406206680338063,5,10,NA
23900,Olfr1477,Olfr1491,14.390666469437637,0.39293507977777,5,10,NA
