,MDS1,MDS2
Or11H4B,-7.027584860798714,-68.85562752326413
Or11H6,-5.085992721765243,-47.36458827653989
Or11H7,58.01587643198806,29.12600101401831
Or11I1,-51.525986279268814,18.1900511231795
Or11J4,-14.692182065348609,-63.63598462998682
Or11L3,-2.8635680572380062,47.28336794230454
Or11M3,5.298852607795893,-34.41697830664908
Or11N2,16.02218996229998,58.452607236415055
Or11Q2,-0.8278897248758598,48.74556599222448
Or12D12,7.5224095744458515,24.145574314512714
Or12D13,5.488235870011404,-30.819645849194576
Or12D17,28.02719372987118,-57.29228633429783
Or12D2,-8.694213498045757,-14.140874076837143
Or12E1,20.313662735429805,-44.21150260555586
Or12E10,25.496425875364096,-43.01730737364546
Or12E13,18.22855765442473,-29.96701819716072
Or12E7,28.388755277356296,33.593176325825446
Or12E8,17.56812020847354,-15.416666925061977
Or12E9,4.45099105602675,-28.65769526509705
Or12J2,30.16799519339567,43.16509000549345
Or12J3,35.774919020882145,43.09925446363213
Or12J4,-10.54346072674856,-2.9481104408756034
Or12J5,43.05497048643258,-38.81808391674496
Or12K5,21.202456046771907,-2.862705635524275
Or12K7,21.692202717812883,58.962143415902055
Or12K8,10.93345723136614,37.901489469247835
Or13A1,3.1649151737240344,29.612065835537035
Or13A17,12.06260186853792,56.04937481311871
Or13A18,-12.182075027581092,65.8824503054521
Or13A19,-29.711264555830137,5.039924454995719
Or13A20,43.597448449712886,35.94301173039394
Or13A21,-42.46368148899739,-0.22598165804597126
Or13A22,18.681928147856894,67.2281737628907
Or13A24,13.933194507677944,-65.20582988205193
Or13A25,10.103575357824429,53.924199908383414
Or13A26,-0.9063706540359723,57.26993927164875
Or13A27,29.668003237810808,62.71013921333749
Or13A28,33.85637519997147,57.204741190050164
Or13Ae2,16.344007066513726,-18.248896891857722
Or13C25,-49.42560477285266,-20.683904740965648
Or13C3,-51.39974839438532,22.26446152578562
Or13C7,-18.992977119215492,-38.067551419639855
Or13C7B,-20.087881551014203,-36.291573857101724
Or13C7C,-30.396873103473666,-28.51281712576712
Or13C7D,-18.788221444761632,-37.36162976956026
Or13D1,-10.385519395246195,-18.605948932476203
Or13E8,8.071000834611032,5.286060525508234
Or13F5,-11.79967588991387,-15.904810749903456
Or13G1,-42.88100247821332,-16.399571594267567
Or13J1,-15.71224673124381,-40.928636166523845
Or13L2,54.22045002213774,-43.02886648509067
Or13N4,32.002426556374466,23.720156972483412
Or13P10,13.851904640860896,-58.77159154574791
Or13P3,-43.253887725353565,-26.908227773957954
Or13P4,45.88934485810421,46.52125833280195
Or13P5,40.080141450747504,-23.22341899617517
Or13P8,-41.88324200738301,27.66982364792796
Or14A256,-35.83390517007116,18.775423674342182
Or14A257,-46.38454550643224,18.748038441115977
Or14A258,-63.08469933546171,-43.38298858373565
Or14A259,-72.07396654987994,4.261310063713869
Or14A260,-45.99469738027819,11.923432699663524
Or14C39,-39.50339096737623,-6.333527441871275
Or14C40,-24.92311817396926,-8.534068633354705
Or14C41,-44.21446321636942,-7.297999068265697
Or14C43,-35.800924379623304,-6.268574264049692
Or14C44,-41.49225734543949,2.7222972381627817
Or14C45,-35.96595450247928,3.282146063223932
Or14C46,13.486323535911305,50.20996088214685
Or14J1,-39.11741897870444,7.643280707631473
Or14J10,24.53626943445557,-65.18699952445358
Or14J2,-29.94995287213356,7.689918741179261
Or14J3,-35.53508837893024,5.955709057099392
