,MDS1,MDS2
Olfr588-ps1,65.04546379333426,2.36994577812267
Olfr625-ps1,52.81663881991915,10.13167386351001
Olfr634-ps1,65.9539090629267,2.6220724560826247
Olfr664,43.22252462064243,-16.62336034940326
Olfr680-ps1,53.91143962477629,13.879918123407563
Olfr682-ps1,51.027515247891365,-23.651902956968915
Olfr709-ps1,-22.71318905222832,20.07596244693573
Olfr715B,-43.571652020659855,33.02268690849636
Olfr718-ps1,-33.199314102613414,25.37875132359001
Olfr753-ps1,56.24904236457467,36.46289887630143
Olfr764-ps1,26.22893949612106,-63.54787184795425
Olfr765,15.0399351940686,-56.70003014376704
Olfr766-ps1,26.228939514866003,-63.547871840207385
Olfr779,62.305581817036966,45.837453666690315
Olfr839-ps1,-26.90526067830961,2.8897825806612603
Olfr844,-24.655284809743137,-3.380269250970342
Olfr851,-38.702406491299605,19.80314722796525
Olfr896-ps1,35.270889002039716,41.308069324991294
Olfr911-ps1,3.914736977534537,52.868318769317504
Olfr936,-30.51360536200435,69.52665090587362
Or10A2,23.661777014224857,-20.50034413309805
Or10A3,-21.24997662407263,-9.613804603549163
Or10A3B,11.726944333483504,-23.522319911964512
Or10A3M,-31.669215488406657,6.078766498008924
Or10A3N,-30.333753940192125,-1.297051469957829
Or10A4,13.367764242540336,-15.599562177007812
Or10A48,-0.07456198839934258,-30.073730648818465
Or10A49,-19.595261694207743,-10.913161458769977
Or10A5,21.030297882205016,-29.354939601744714
Or10Aa1,25.563246152993084,-9.418641678636291
Or10Aa3,12.571021586083086,-1.3223078779119675
Or10Ab4,-31.928579268812843,50.813175612542565
Or10Ab5,-30.186997983247032,41.055074288442896
Or10Ac1,-37.127949682825935,42.04304407871558
Or10Ad1,-8.147411432352365,-5.080642136090326
Or10Ad1B,-0.008334905194776051,-6.802336134610971
Or10Ag2,4.906462623905863,3.799358762458135
Or10Ag52,23.432965983073252,22.05593291933012
Or10Ag53,-8.245921380684006,18.99020896920403
Or10Ag54,-10.336994453492348,15.068131125344303
Or10Ag56,8.036617511659477,7.466489351044107
Or10Ag57,-6.4398611726559105,-13.55134254400775
Or10Ag58,30.505247985480278,-33.390029395774846
Or10Ag59,20.0184790546872,13.309957498653077
Or10Ag60,1.9591134202681708,16.185882482740375
Or10Ak11,-28.02241308826291,42.711116143723096
Or10Ak12,-17.196258958260294,45.7297130836331
Or10Ak13,-18.47514336150946,48.901873506742916
Or10Ak14,13.284575435414368,-18.48591928213161
Or10Ak16,-13.177277541098919,46.76856010721143
Or10Ak7,-15.07825045989192,46.12184008173356
Or10Ak8,37.75989447150482,-45.87516246338156
Or10Ak9,12.87900141271467,37.32744699801912
Or10Al2,-5.394000513847479,55.54726195382845
Or10Al3,1.4057072247017817,40.35625543950625
Or10Al4,-34.053852408344,62.43458912246644
Or10Al5,78.30910303440956,-32.654456301477275
Or10Al6,-2.8080738671989405,39.039650451829566
Or10Al7,5.4571952927818685,39.156810903490666
Or10Am5,-19.515536812700752,39.8010286386472
Or10B1,-30.454836887649865,33.39709312442466
Or10C1,5.143988417185786,4.838102872761958
Or10D1,5.189061074308975,-41.165013446549814
Or10D1B,-2.8661415884087393,-35.84843845130313
Or10D1C,-52.116961214101195,-21.865524781345332
Or10D3,-0.4867341742758261,-36.637232676859654
Or10D4,-3.308219981186257,-58.52229917044601
Or10D4B,-53.348530929816306,-13.674308703895738
Or10D4C,-1.189698641444563,-52.468755466674565
Or10D5,9.235045978688703,-39.94872345069189
Or10D5J,4.085448239625078,-40.90372200329472
Or10G1,-25.29527715446325,-16.685518946605452
Or10G1B,-25.295273416124765,-16.685520969288415
Or10G3,-8.012437403694374,-40.95507925619263
Or10G3B,-8.012437403695788,-40.95507925619301
Or10G6,-44.468515421767506,-14.389859116305997
Or10G7,-22.974924335892435,-4.112454784340225
Or10G9,-29.26711298242073,-12.782847426585851
Or10G9B,-35.97652226696952,-21.662196354366152
Or10H1,-82.33619458511957,-28.58786452127426
Or10H1B,59.90171528203373,-61.73434739292601
Or10H28,-60.190714710702935,31.78347608835531
Or10J27,21.010199080707892,51.95276877458104
Or10J3,24.163616081938994,35.27000294650063
Or10J3B,30.744069954753797,-29.028017330673855
