,ensembl_gene_id,accession number,id
170,ENSMUSG00000056564,A0A2I3BQT1,Olfr324
171,ENSMUSG00000056564,A0A2I3BQD6,Olfr324
172,ENSMUSG00000056564,Q5NCC7,Olfr324
173,ENSMUSG00000111306,Q7TR70,Olfr1065
174,ENSMUSG00000111863,Q8VGK2,Olfr347
175,ENSMUSG00000094764,Q8VGJ7,Olfr346
176,ENSMUSG00000063221,Q9EQ99,Olfr930
177,ENSMUSG00000083706,A0A1L1STN9,Olfr1118
178,ENSMUSG00000083706,A0A0J9YUE7,Olfr1118
179,ENSMUSG00000073969,E9Q549,Olfr556
180,ENSMUSG00000073959,Q7TRS0,Olfr584
181,ENSMUSG00000073959,Q8VGW0,Olfr584
182,ENSMUSG00000095586,Q7TQY1,Olfr1287
183,ENSMUSG00000047048,E9Q8M2,Olfr432
184,ENSMUSG00000081836,Q0VB29,Olfr1180
185,ENSMUSG00000095928,E9Q8M0,Olfr204
186,ENSMUSG00000096679,A0A0R4J0X9,Olfr498
187,ENSMUSG00000044897,Q8VG45,Olfr821
188,ENSMUSG00000061387,A0A1L1SVH0,Olfr1490
189,ENSMUSG00000061387,Q7TQQ5,Olfr1490
190,ENSMUSG00000075185,Q7TR72,Olfr1061
191,ENSMUSG00000075168,Q8VG37,Olfr1099
192,ENSMUSG00000046650,Q8VFV4,Olfr1440
193,ENSMUSG00000111732,A0A0N4SVC3,Olfr785
194,ENSMUSG00000050504,Q8VF35,Olfr1323
195,ENSMUSG00000095248,Q3SXH8,Olfr681
196,ENSMUSG00000050266,Q8VH18,Olfr690
197,ENSMUSG00000054526,Q7TQQ3,Olfr1500
198,ENSMUSG00000059411,Q8VF17,Olfr434
199,ENSMUSG00000094493,Q8VFM5,Olfr700
200,ENSMUSG00000075151,Q0VBI4,Olfr1136
201,ENSMUSG00000060017,Q5CZY0,Olfr121
202,ENSMUSG00000096169,K7N6V7,Olfr1564
203,ENSMUSG00000096169,A0A140LIE7,Olfr1564
204,ENSMUSG00000058200,F8VQ01,Olfr66
205,ENSMUSG00000075107,Q7TR05,Olfr1216
206,ENSMUSG00000073967,E9Q550,Olfr557
207,ENSMUSG00000111259,B1ARV2,Olfr1328
208,ENSMUSG00000111259,A0A1L1SQF6,Olfr1328
209,ENSMUSG00000073948,E9Q564,Olfr608
210,ENSMUSG00000059887,A0A0U1RNV5,Olfr1507
211,ENSMUSG00000059887,Q0VEP0,Olfr1507
212,ENSMUSG00000059887,A0A0U1RPC3,Olfr1507
213,ENSMUSG00000059887,A0A0U1RNW4,Olfr1507
214,ENSMUSG00000043892,A2ASV3,Olfr1018
215,ENSMUSG00000049028,A0A2I3BPK1,Olfr873
216,ENSMUSG00000049028,E9PX82,Olfr873
